17378,3,0,0,3,0,0,0
20517,238,61,25,238,61,25,39
8586,3,48,44,1,22,21,6
8891,9,11,5,9,11,5,1
9629,283,291,16,245,261,15,36
20146,0,3,2,0,3,2,2
24107,21,9,10,14,7,2,3
26054,44,18,0,3,1,0,2
7067,57,7,2,51,4,1,14
9181,27,59,94,27,44,72,20
39033,10,7,1,5,1,0,0
23248,147,231,161,123,149,88,13
23974,20,24,17,7,6,1,3
35135,3,0,0,2,0,0,0
35527,59,13,1,21,4,0,4
17372,111,9,6,111,9,6,35
35949,21,13,1,21,13,1,2
23373,198,145,121,100,50,40,40
29690,147,29,17,147,29,17,6
10363,61,11,8,61,11,8,9
23111,38,24,37,38,24,37,7
35827,62,15,5,62,15,5,10
20510,6,1,0,6,1,0,1
11892,84,179,123,37,93,67,17
17382,5,7,6,4,6,5,2
4832,19,114,118,7,42,59,12
36307,95,81,15,53,31,0,4
3882,17,29,6,12,16,3,4
12591,95,21,6,95,21,6,8
2213,23,30,32,18,16,27,8
21301,12,10,10,0,0,0,0
32081,72,31,3,72,31,3,3
22295,0,0,0,0,0,0,3
36469,10,0,0,10,0,0,0
36303,2,0,0,0,0,0,0
35214,12,0,0,10,0,0,2
32569,17,1,0,2,0,0,1
8213,0,50,0,0,44,0,1
6453,0,1,8,0,1,8,1
10405,8,16,22,8,16,18,4
3051,14,24,11,4,20,3,0
10354,45,31,2,34,13,1,6
4522,161,68,3,129,40,0,20
36496,8,5,30,6,4,12,3
10514,2,4,6,2,4,6,2
25856,0,6,0,0,5,0,0
17567,29,55,14,25,51,11,3
14097,11,8,9,8,0,2,2
27197,8,1,1,2,0,0,1
29189,72,0,0,41,0,0,2
39173,48,5,1,48,5,1,1
26005,111,8,2,46,2,0,9
24098,42,28,27,11,17,3,1
11986,8,34,10,2,24,3,3
7322,2,0,3,2,0,3,0
10108,0,8,12,0,8,12,2
10956,0,12,15,0,9,10,6
9614,20,82,87,11,43,57,14
32853,0,0,12,0,0,8,1
16251,42,8,11,42,8,11,5
27663,176,8,5,176,8,5,11
2290,46,4,1,46,4,1,5
29020,62,10,4,62,10,4,9
81,90,0,0,68,0,0,3
35285,23,3,1,23,3,1,1
4015,79,13,22,79,13,22,20
28086,53,18,2,6,0,0,3
3797,5,19,27,5,17,26,3
39600,9,2,0,3,2,0,2
31879,34,3,1,29,0,0,0
9653,52,36,4,38,26,0,6
11585,39,233,180,39,233,180,11
22399,0,0,0,0,0,0,4
23024,455,421,364,450,312,173,36
16850,36,10,2,7,0,0,3
8046,14,2,3,14,2,3,3
4050,105,0,1,76,0,0,8
14616,0,0,0,0,0,0,0
20624,26,129,83,10,56,48,5
4502,8,31,18,8,28,11,10
40059,5,1,0,2,0,0,1
4642,58,0,0,32,0,0,2
8825,23,6,0,23,6,0,0
35194,0,0,0,0,0,0,0
8195,16,129,149,8,48,101,8
9679,50,184,148,34,120,96,11
10811,3,4,9,3,3,4,0
8851,8,70,62,6,54,34,8
25295,132,125,129,112,74,64,4
33721,9,16,24,9,14,24,2
20639,14,6,30,13,6,24,4
39829,56,32,4,56,32,4,9
26782,43,14,7,43,14,7,3
10851,1,35,49,1,28,42,10
263,560,0,0,275,0,0,3
2638,18,23,13,3,19,12,2
10714,5,1,1,5,1,1,1
8249,6,45,88,3,35,41,11
23228,126,157,109,115,141,94,28
30977,679,56,4,679,56,4,61
26183,29,6,7,9,1,0,6
25162,3,8,12,3,7,9,0
21471,3,3,14,1,3,14,3
10227,3,15,10,3,12,9,2
31216,307,4,1,31,0,0,17
5578,189,33,25,189,33,25,17
31335,24,0,0,24,0,0,3
30605,28,11,7,28,5,4,4
6610,51,9,5,51,9,5,16
5251,0,12,16,0,7,8,7
19006,38,68,77,6,39,29,8
32000,190,14,0,190,14,0,3
8497,88,5,5,88,5,5,13
3996,4,41,46,3,32,32,12
7579,13,42,42,12,32,32,7
9418,0,0,0,0,0,0,0
8534,187,14,5,187,14,5,37
4619,0,20,35,0,20,35,11
10078,15,0,0,12,0,0,0
17990,15,2,0,10,0,0,1
9723,0,5,12,0,4,11,5
30906,15,61,115,8,20,35,10
32024,153,25,18,153,25,18,3
10296,155,197,12,139,168,0,13
25820,3,1,0,0,0,0,0
2844,3,9,10,3,9,10,3
18817,2,14,21,2,14,21,1
19820,9,16,11,6,13,7,0
8318,14,25,34,12,14,24,6
6525,148,2,0,129,0,0,12
26228,68,0,0,41,0,0,1
21907,0,0,3,0,0,1,0
24659,45,2,0,24,0,0,1
16198,21,22,16,16,17,7,8
5739,10,8,10,10,5,10,3
22054,54,41,28,2,9,1,1
11168,130,426,391,47,107,154,12
7899,35,127,91,12,48,44,4
8832,2,42,24,2,39,21,7
10417,100,94,8,72,68,0,20
14848,13,46,34,10,35,17,7
30809,0,0,0,0,0,0,0
6910,0,1,7,0,1,7,3
31763,171,17,7,171,17,7,3
7773,220,39,12,220,39,12,49
8742,68,6,3,68,6,3,17
8041,17,2,1,17,2,1,5
3203,10,6,2,6,5,2,0
28912,45,17,8,11,1,0,2
20118,190,386,177,61,157,82,21
39553,60,0,0,40,0,0,3
