8145,80,44,22,14,116,15,107,116,47,23,8,2,0,75
10885,24,2,12,10,30,1,29,30,22,1,1,0,0,12
9243,14,12,1,1,20,1,14,20,0,0,3,10,1,7
9830,16,7,7,2,27,6,17,10,11,4,1,0,0,9
9237,21,19,1,1,28,3,23,28,1,6,11,3,0,22
6310,12,0,6,6,13,3,12,13,9,3,0,0,0,1
4038,90,90,0,0,90,17,89,90,0,1,19,58,12,49
2197,20,6,12,2,26,6,22,25,9,6,4,1,0,15
5927,24,20,3,1,38,28,33,28,7,7,9,1,0,20
20400,61,55,3,3,112,6,90,85,34,22,4,1,0,17
32595,8,8,0,0,10,0,5,10,1,6,1,0,0,4
10053,20,6,3,11,29,6,26,29,4,11,5,0,0,2
2963,12,4,2,6,13,12,13,12,5,5,2,0,0,12
2660,31,13,8,10,33,10,31,31,11,12,6,2,0,17
30989,23,23,0,0,30,27,27,28,4,10,6,3,0,20
29685,5,4,1,0,5,2,5,5,1,3,1,0,0,0
6010,3,1,2,0,9,1,8,9,2,1,0,0,0,4
5438,21,3,8,10,24,5,22,23,7,7,7,0,0,1
28897,28,28,0,0,41,3,32,24,2,5,17,4,0,24
11447,20,3,12,5,26,7,15,15,11,6,3,0,0,9
10851,16,1,9,6,28,1,20,22,10,5,1,0,0,14
3053,95,57,38,0,100,37,97,100,1,36,52,6,0,4
31878,22,22,0,0,25,10,25,25,1,11,8,2,0,6
35451,40,33,3,4,66,9,56,58,14,16,8,2,0,58
32259,0,0,0,0,1,1,1,1,0,0,0,0,0,1
7851,25,0,14,11,32,2,29,32,8,11,5,1,0,18
26291,176,154,19,3,209,186,201,187,54,68,44,9,0,144
40511,26,26,0,0,33,12,27,33,0,0,9,15,2,14
14583,11,2,3,6,20,8,20,16,7,3,1,0,0,18
8,115,115,0,0,125,89,121,125,0,1,37,71,6,30
10724,21,0,12,9,26,24,25,26,6,6,7,2,0,15
9412,8,7,0,1,19,8,12,12,2,4,1,1,0,15
2784,18,8,3,7,25,7,21,19,10,8,0,0,0,19
14688,6,4,1,1,8,4,6,8,2,2,1,1,0,2
11072,75,75,0,0,86,55,70,86,6,24,41,4,0,59
2825,15,1,9,5,23,2,21,22,8,4,3,0,0,9
7512,75,66,7,2,113,27,102,97,27,32,13,2,1,100
9883,17,1,6,10,23,5,18,22,11,5,0,1,0,3
7845,30,30,0,0,46,18,35,46,1,6,15,8,0,22
17447,17,11,4,2,23,18,23,23,6,5,6,0,0,17
25271,26,12,7,7,45,9,35,45,13,7,5,1,0,37
9117,22,7,13,2,36,6,29,19,11,8,2,1,0,9
7313,7,2,4,1,9,2,8,8,6,1,0,0,0,5
27427,32,27,4,1,36,3,32,23,12,7,8,5,0,19
8188,130,130,0,0,138,73,133,138,3,11,58,49,5,121
15446,7,3,1,3,7,1,7,7,3,4,0,0,0,3
23078,73,30,27,16,118,17,99,118,34,22,14,3,0,106
373,2,0,2,0,2,0,2,2,0,0,1,1,0,0
25250,9,1,3,5,15,4,10,15,4,2,3,0,0,12
3878,6,6,0,0,8,0,8,8,0,1,4,1,0,3
39469,175,134,36,5,296,32,242,241,117,48,7,3,0,169
7336,24,3,13,8,30,11,18,24,16,6,1,0,0,19
4486,25,2,15,8,31,5,26,30,15,8,1,1,0,16
10149,27,0,13,14,32,10,26,17,16,7,4,0,0,18
36156,9,4,4,1,9,2,7,5,5,3,1,0,0,7
38000,8,8,0,0,9,2,9,8,1,1,5,1,0,2
8690,38,38,0,0,45,38,44,45,0,4,16,17,1,13
41088,14,12,1,1,26,2,15,23,8,5,1,0,0,9
9108,20,2,4,14,25,4,19,22,9,6,4,1,0,0
12753,6,1,1,4,8,3,7,6,1,1,1,3,0,7
20727,72,72,0,0,88,8,78,88,0,3,39,30,0,59
23140,81,25,24,32,98,41,78,98,17,30,24,10,0,88
24875,17,13,4,0,21,13,16,21,10,5,1,1,0,11
32416,7,4,1,2,11,1,9,8,4,3,0,0,0,8
8140,114,57,55,2,129,78,119,129,53,38,21,1,1,67
20562,6,2,0,4,7,3,6,6,2,4,0,0,0,0
2412,14,1,3,10,19,2,16,17,8,4,0,2,0,12
4835,20,2,9,9,28,1,25,28,4,11,4,1,0,1
7230,4,1,0,3,5,2,4,3,2,1,1,0,0,0
6041,61,45,15,1,71,7,62,69,24,28,6,3,0,39
